排名,名稱,城市,國家,州,高度(m),樓層,落成年份
1,哈里發塔,杜拜,阿聯,亞洲,828,169,2010
2,默迪卡118,吉隆坡,馬來西亞,亞洲,678.9,118,2022
3,上海中心大廈,上海,中國大陸,亞洲,632,128,2015
4,麥加皇家鐘塔飯店,麥加,沙烏地阿拉伯,亞洲,601,120,2012
5,平安國際金融中心,深圳,中國大陸,亞洲,599.1,115,2017
6,樂天世界塔,首爾,南韓,亞洲,554.5,123,2017
7,世界貿易中心一號大樓,紐約,美國,北美洲,541,103,2014
8,廣州周大福金融中心,廣州,中國大陸,亞洲,530,111,2016
9,天津周大福金融中心,天津,中國大陸,亞洲,530,97,2019
10,中國尊,北京,中國大陸,亞洲,527.7,109,2018
11,台北101,臺北,中華民國,亞洲,508,101,2004
12,環球金融中心,上海,中國大陸,亞洲,492,101,2008
13,環球貿易廣場,香港,香港,亞洲,484,118,2010
14,武漢綠地中心,武漢,中國大陸,亞洲,475.6,118,2022
15,中央公園塔,紐約,美國,北美洲,472.4,98,2020
16,拉赫塔中心,聖彼得堡,俄羅斯,歐洲,462,87,2019
17,地標塔81,胡志明市,越南,亞洲,461.2,81,2018
18,長沙國際金融中心,長沙,中國大陸,亞洲,452.1,94,2018
19,雙峰塔1座,吉隆坡,馬來西亞,亞洲,451.9,88,1998
20,雙峰塔2座,吉隆坡,馬來西亞,亞洲,451.9,88,1998
21,紫峰大廈,南京,中國大陸,亞洲,450,89,2010
22,蘇州國際金融中心,蘇州,中國大陸,亞洲,450,95,2019
23,106交易塔,吉隆坡,馬來西亞,亞洲,445.5,95,2019
24,武漢中心,武漢,中國大陸,亞洲,443.1,88,2019
25,韋萊集團大廈,芝加哥,美國,北美洲,442.1,108,1973
26,京基100,深圳,中國大陸,亞洲,441.8,100,2011
27,廣州國際金融中心,廣州,中國大陸,亞洲,438.6,103,2010
28,西57街111號,紐約,美國,北美洲,435.3,84,2021
29,范德堡一號大樓,紐約,美國,北美洲,427,58,2020
30,公園大道432號,紐約,美國,北美洲,425.7,88,2015
31,瑪麗娜101,杜拜,阿聯,亞洲,425,101,2017
32,川普國際酒店大廈,芝加哥,美國,北美洲,423.2,98,2009
33,民盈國貿中心T2,東莞,中國大陸,亞洲,422.6,88,2021
34,金茂大廈,上海,中國大陸,亞洲,420.5,88,1999
35,公主塔,杜拜,阿聯,亞洲,413.4,101,2012
36,阿爾哈姆拉塔,科威特城,科威特,亞洲,412.6,80,2011
37,國際金融中心二期,香港,香港,亞洲,412,88,2003
38,海雲台LCT頂尖,釜山,南韓,亞洲,411.6,101,2019
39,南寧華潤大廈a座,南寧,中國大陸,亞洲,402.7,85,2020
40,貴陽國際金融中心T1,貴陽,中國大陸,亞洲,401,79,2020
41,中國華潤大廈,深圳,中國大陸,亞洲,392.5,80,2018
42,瑪麗娜23大廈,杜拜,阿聯,亞洲,392.4,89,2012
43,中信廣場,廣州,中國大陸,亞洲,391,80,1996
44,深業上城T1,深圳,中國大陸,亞洲,388.1,80,2020
45,城脈中心,深圳,中國大陸,亞洲,388,70,2022
46,哈德遜城市廣場30號,紐約,美國,北美洲,386,73,2019
47,公共投資基金大廈,利雅德,沙烏地阿拉伯,亞洲,385,72,2021
48,標誌塔,開羅,埃及,非洲,385,80,2022
49,信興廣場,深圳,中國大陸,亞洲,384,69,1996
50,大連裕景中心,大連,中國大陸,亞洲,383,80,2016
51,坦林九號,雅加達,印尼,亞洲,382.5,75,2022
52,龍光世紀中心,南寧,中國大陸,亞洲,381.3,82,2018
53,阿布達比世界貿易中心,阿布達比,阿聯,亞洲,381.2,92,2014
54,帝國大廈,紐約,美國,北美洲,381,102,1931
55,精英公寓大廈,杜拜,阿聯,亞洲,380.5,87,2012
56,武漢中信泰富廣場,武漢,中國大陸,亞洲,376,73,2021
57,大百匯廣場,深圳,中國大陸,亞洲,375.6,80,2021
58,中環廣場,香港,香港,亞洲,373.9,78,1992
59,聯邦塔（東塔）,莫斯科,俄羅斯,歐洲,373.7,95,2015
60,大連國貿中心,大連,中國大陸,亞洲,370.2,86,2019
61,林蔭大道大廈,杜拜,阿聯,亞洲,370,72,2017
62,海天中心2號樓,青島,中國大陸,亞洲,369,72,2020
63,南京金鷹世界A座,南京,中國大陸,亞洲,368,72,2019
64,中銀大廈,香港,香港,亞洲,367,70,1990
65,美國銀行大廈,紐約,美國,北美洲,366,55,2009
66,芝加哥瑞吉酒店,芝加哥,美國,北美洲,362.9,92,2020
67,阿勒瑪斯大樓,杜拜,阿聯,亞洲,360,68,2008
68,漢京中心,深圳,中國大陸,亞洲,358.9,65,2018
69,蘇州綠地中心,蘇州,中國大陸,亞洲,358,77,2021
70,吉沃拉酒店,杜拜,阿聯,亞洲,356.3,75,2017
71,杜拜侯爵萬豪酒店一座,杜拜,阿聯,亞洲,355,77,2012
72,杜拜侯爵萬豪酒店二座,杜拜,阿聯,亞洲,355,77,2012
73,阿聯大廈一座,杜拜,阿聯,亞洲,354.6,54,2000
74,來福士廣場T3N,重慶,中國大陸,亞洲,354.5,79,2019
75,來福士廣場T4N,重慶,中國大陸,亞洲,354.5,79,2019
76,OKO大廈,莫斯科,俄羅斯,歐洲,354,85,2015
77,瑪麗娜火炬大廈,杜拜,阿聯,亞洲,352,86,2011
78,市府恒隆廣場二座,瀋陽,中國大陸,亞洲,351,76,2015
79,廣晟國際大廈,廣州,中國大陸,亞洲,350.3,60,2012
80,國瑞國際金融中心,西安,中國大陸,亞洲,350,75,2020